Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",135.250000,-111.350000,0.000000,top
"C2","22u","C_0805_2012Metric",140.200000,-116.850000,90.000000,top
"C3","10u","C_0603_1608Metric",123.225000,-98.800000,0.000000,top
"C4","100n","C_0402_1005Metric",119.500000,-103.980000,90.000000,top
"C5","100n","C_0402_1005Metric",132.000000,-104.800000,-90.000000,top
"C6","100n","C_0402_1005Metric",128.720000,-113.500000,180.000000,top
"C7","100n","C_0402_1005Metric",123.250000,-101.000000,0.000000,top
"C8","10n","C_0402_1005Metric",119.500000,-108.320000,90.000000,top
"C9","1u","C_0402_1005Metric",119.220000,-112.000000,180.000000,top
"C10","1u","C_0402_1005Metric",119.220000,-114.000000,180.000000,top
"C11","100n","C_0402_1005Metric",123.500000,-113.500000,0.000000,top
"C12","10p","C_0402_1005Metric",117.600000,-105.250000,90.000000,top
"C13","10p","C_0402_1005Metric",117.600000,-107.270000,90.000000,top
"D1","LED","LED_0603_1608Metric",143.000000,-117.000000,-90.000000,top
"FB1","120R","L_0603_1608Metric",121.200000,-113.000000,90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",143.500000,-105.900000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",124.000000,-93.000000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",137.620000,-93.000000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",121.400000,-123.000000,90.000000,top
"R1","1k5","R_0402_1005Metric",143.510000,-113.400000,0.000000,top
"R2","10K","R_0402_1005Metric",112.200000,-100.510000,90.000000,top
"R3","1k5","R_0402_1005Metric",135.500000,-105.400000,90.000000,top
"R4","1k5","R_0402_1005Metric",124.490000,-118.000000,180.000000,top
"R5","1k5","R_0402_1005Metric",126.510000,-118.000000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",108.830000,-103.250000,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",125.750000,-107.337500,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",135.500000,-117.000000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",114.750000,-106.100000,-90.000000,top
